Series Description,Federal funds effective rate,30-Day AA Nonfinancial Commercial Paper Interest Rate,60-Day AA Nonfinancial Commercial Paper Interest Rate,90-Day AA Nonfinancial Commercial Paper Interest Rate,30-Day AA Financial Commercial Paper Interest Rate,60-Day AA Financial Commercial Paper Interest Rate,90-Day AA Financial Commercial Paper Interest Rate,"Average majority prime rate charged by banks   on short-term loans to business,   quoted on an investment basis",The rate charged for primary credit under   amendment to the Board's Regulation A,4-week Treasury bill secondary market rate   discount basis,3-month Treasury bill secondary market rate   discount basis,6-month Treasury bill secondary market rate   discount basis,1-year Treasury bill secondary market rate^  discount basis,"Market yield on U.S. Treasury securities at 1-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 3-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 6-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 1-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 2-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 3-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 5-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 7-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 20-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 30-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 5-year   constant maturity, quoted on investment basis,   inflation-indexed","Market yield on U.S. Treasury securities at 7-year   constant maturity, quoted on investment basis,   inflation-indexed","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis,   inflation-indexed","Market yield on U.S. Treasury securities at 20-year   constant maturity, quoted on investment basis,   inflation-indexed","Market yield on U.S. Treasury securities at 30-year^  constant maturity, quoted on investment basis,^  inflation-indexed",Treasury long-term average (over 10 years)
2013/5/1,0.11,0.07,0.08,0.1,0.09,0.11,0.14,3.25,0.75,0.02,0.04,0.08,0.11,0.02,0.04,0.08,0.12,0.25,0.4,0.84,1.31,1.93,2.73,3.11,-1.14,-0.69,-0.36,0.35,0.72,0.26
2013/6/1,0.09,0.07,0.09,0.1,0.07,0.1,0.14,3.25,0.75,0.03,0.05,0.09,0.14,0.03,0.05,0.09,0.14,0.33,0.58,1.2,1.71,2.3,3.07,3.4,-0.59,-0.21,0.25,0.98,1.21,0.83
2013/7/1,0.09,0.06,0.08,0.11,0.08,0.1,0.14,3.25,0.75,0.02,0.04,0.07,0.12,0.02,0.04,0.07,0.12,0.34,0.64,1.4,1.99,2.58,3.31,3.61,-0.45,0.02,0.46,1.09,1.34,0.99
2013/8/1,0.08,0.05,0.07,0.09,0.07,0.09,0.12,3.25,0.75,0.04,0.04,0.07,0.12,0.04,0.04,0.07,0.13,0.36,0.7,1.52,2.15,2.74,3.49,3.76,-0.33,0.15,0.55,1.16,1.44,1.08
2013/9/1,0.08,0.05,0.06,0.08,0.06,0.08,0.11,3.25,0.75,0.02,0.02,0.04,0.11,0.02,0.02,0.04,0.12,0.4,0.78,1.6,2.22,2.81,3.53,3.79,-0.17,0.34,0.66,1.22,1.5,1.16
2013/10/1,0.09,0.07,0.09,0.11,0.09,0.12,0.12,3.25,0.75,0.11,0.05,0.08,0.11,0.11,0.05,0.08,0.12,0.34,0.63,1.37,1.99,2.62,3.38,3.68,-0.41,0.11,0.43,1.05,1.37,0.99
2013/11/1,0.08,0.05,0.07,0.09,0.07,0.09,0.12,3.25,0.75,0.05,0.07,0.1,0.12,0.05,0.07,0.1,0.12,0.3,0.58,1.37,2.07,2.72,3.5,3.8,-0.38,0.18,0.55,1.2,1.51,1.12
2013/12/1,0.09,0.06,0.07,0.09,0.07,0.1,0.14,3.25,0.75,0.02,0.07,0.1,0.13,0.02,0.07,0.1,0.13,0.34,0.69,1.58,2.29,2.9,3.63,3.89,-0.09,0.47,0.74,1.32,1.61,1.27
2014/1/1,0.07,0.05,0.06,0.09,0.07,0.09,0.12,3.25,0.75,0.02,0.04,0.07,0.11,0.02,0.04,0.07,0.12,0.39,0.78,1.65,2.29,2.86,3.52,3.77,-0.09,0.45,0.63,1.17,1.44,1.11
2014/2/1,0.07,0.06,0.08,0.1,0.07,0.11,0.13,3.25,0.75,0.05,0.05,0.08,0.11,0.05,0.05,0.08,0.12,0.33,0.69,1.52,2.15,2.71,3.38,3.66,-0.26,0.3,0.55,1.12,1.4,1.04
2014/3/1,0.08,0.06,0.08,0.1,0.07,0.1,0.12,3.25,0.75,0.05,0.05,0.08,0.12,0.05,0.05,0.08,0.13,0.4,0.82,1.64,2.23,2.72,3.35,3.62,-0.14,0.37,0.56,1.05,1.33,1.03
2014/4/1,0.09,0.05,0.07,0.1,0.07,0.09,0.12,3.25,0.75,0.02,0.03,0.05,0.1,0.02,0.03,0.05,0.11,0.42,0.88,1.7,2.27,2.71,3.27,3.52,-0.11,0.38,0.54,0.98,1.23,0.96
2014/5/1,0.09,0.05,0.07,0.1,0.07,0.08,0.11,3.25,0.75,0.03,0.03,0.05,0.09,0.03,0.03,0.05,0.1,0.39,0.83,1.59,2.12,2.56,3.12,3.39,-0.34,0.21,0.37,0.82,1.08,0.79
2014/6/1,0.1,0.06,0.08,0.1,0.07,0.08,0.11,3.25,0.75,0.02,0.04,0.06,0.1,0.02,0.04,0.06,0.1,0.45,0.9,1.68,2.19,2.6,3.15,3.42,-0.29,0.23,0.37,0.84,1.11,0.81
2014/7/1,0.09,0.07,0.08,0.1,0.08,0.1,0.13,3.25,0.75,0.02,0.03,0.06,0.1,0.02,0.03,0.06,0.11,0.51,0.97,1.7,2.17,2.54,3.07,3.33,-0.27,0.18,0.28,0.72,0.98,0.7
2014/8/1,0.09,0.08,0.09,0.11,0.09,0.11,0.13,3.25,0.75,0.03,0.03,0.05,0.1,0.03,0.03,0.05,0.11,0.47,0.93,1.63,2.08,2.42,2.94,3.2,-0.21,0.15,0.22,0.64,0.9,0.63
2014/9/1,0.09,0.06,0.08,0.1,0.09,0.1,0.12,3.25,0.75,0.01,0.02,0.04,0.1,0.01,0.02,0.04,0.11,0.57,1.05,1.77,2.22,2.53,3.01,3.26,0.1,0.38,0.46,0.81,1.05,0.83
2014/10/1,0.09,0.06,0.08,0.1,0.08,0.1,0.12,3.25,0.75,0.02,0.02,0.05,0.1,0.02,0.02,0.05,0.1,0.45,0.88,1.55,1.98,2.3,2.77,3.04,0.06,0.32,0.38,0.74,0.96,0.75
2014/11/1,0.09,0.07,0.08,0.1,0.09,0.11,0.13,3.25,0.75,0.04,0.02,0.07,0.12,0.04,0.02,0.07,0.13,0.53,0.96,1.62,2.03,2.33,2.76,3.04,0.14,0.37,0.45,0.77,0.99,0.78
2014/12/1,0.12,0.11,0.11,0.13,0.11,0.14,0.15,3.25,0.75,0.03,0.03,0.11,0.2,0.03,0.03,0.11,0.21,0.64,1.06,1.64,1.98,2.21,2.55,2.83,0.37,0.47,0.51,0.73,0.89,0.74
2015/1/1,0.11,0.09,0.1,0.12,0.12,0.14,0.16,3.25,0.75,0.02,0.03,0.08,0.18,0.02,0.03,0.08,0.2,0.55,0.9,1.37,1.67,1.88,2.2,2.46,0.17,0.24,0.27,0.5,0.66,0.54
2015/2/1,0.11,0.08,0.09,0.12,0.1,0.12,0.15,3.25,0.75,0.02,0.02,0.07,0.21,0.02,0.02,0.07,0.22,0.62,0.99,1.47,1.79,1.98,2.34,2.57,0.11,0.22,0.26,0.52,0.73,0.58
2015/3/1,0.11,0.08,0.09,0.11,0.09,0.12,0.14,3.25,0.75,0.02,0.03,0.11,0.24,0.02,0.03,0.11,0.25,0.64,1.02,1.52,1.84,2.04,2.41,2.63,0.04,0.23,0.28,0.55,0.73,0.58
2015/4/1,0.12,0.07,0.08,0.1,0.08,0.1,0.13,3.25,0.75,0.02,0.02,0.09,0.22,0.02,0.02,0.09,0.23,0.54,0.87,1.35,1.69,1.94,2.33,2.59,-0.26,-0.01,0.08,0.42,0.65,0.47
2015/5/1,0.12,0.08,0.1,0.12,0.09,0.12,0.15,3.25,0.75,0.01,0.02,0.08,0.22,0.01,0.02,0.08,0.24,0.61,0.98,1.54,1.93,2.2,2.69,2.96,-0.1,0.27,0.33,0.7,0.96,0.74
2015/6/1,0.13,0.09,0.1,0.14,0.11,0.14,0.18,3.25,0.75,0,0.02,0.09,0.26,0.01,0.02,0.09,0.28,0.69,1.07,1.68,2.1,2.36,2.85,3.11,0.05,0.39,0.5,0.89,1.13,0.89
2015/7/1,0.13,0.08,0.1,0.13,0.11,0.15,0.19,3.25,0.75,0.03,0.03,0.12,0.28,0.03,0.03,0.12,0.3,0.67,1.03,1.63,2.04,2.32,2.77,3.07,0.14,0.42,0.5,0.87,1.11,0.87
2015/8/1,0.14,0.1,0.14,0.18,0.13,0.2,0.26,3.25,0.75,0.03,0.07,0.22,0.36,0.04,0.07,0.22,0.38,0.7,1.03,1.54,1.91,2.17,2.55,2.86,0.31,0.49,0.56,0.87,1.08,0.88
2015/9/1,0.14,0.13,0.17,0.22,0.15,0.21,0.27,3.25,0.75,0,0.02,0.18,0.35,0.01,0.02,0.18,0.37,0.71,1.01,1.49,1.88,2.17,2.62,2.95,0.33,0.52,0.65,1.01,1.24,1.03
2015/10/1,0.12,0.11,0.14,0.18,0.13,0.19,0.25,3.25,0.75,0.01,0.02,0.11,0.25,0.01,0.02,0.11,0.26,0.64,0.93,1.39,1.76,2.07,2.5,2.89,0.21,0.39,0.57,0.98,1.22,0.97
2015/11/1,0.12,0.11,0.15,0.2,0.13,0.21,0.3,3.25,0.75,0.07,0.12,0.32,0.45,0.07,0.13,0.33,0.48,0.88,1.2,1.67,2.02,2.26,2.69,3.03,0.4,0.55,0.69,1.03,1.25,1.05
2015/12/1,0.24,0.28,0.33,0.36,0.3,0.4,0.54,3.37,0.87,0.17,0.23,0.49,0.63,0.17,0.23,0.5,0.65,0.98,1.28,1.7,2.04,2.24,2.61,2.97,0.46,0.59,0.73,1.06,1.26,1.07
2016/1/1,0.34,0.34,0.4,0.47,0.38,0.47,0.57,3.5,1,0.22,0.26,0.43,0.52,0.23,0.26,0.43,0.54,0.9,1.14,1.52,1.85,2.09,2.49,2.86,0.33,0.49,0.67,1.05,1.26,1.06
2016/2/1,0.38,0.35,0.42,0.47,0.41,0.47,0.54,3.5,1,0.25,0.31,0.44,0.52,0.26,0.31,0.45,0.53,0.73,0.9,1.22,1.53,1.78,2.2,2.62,0.14,0.3,0.47,0.85,1.09,0.91
2016/3/1,0.36,0.34,0.4,0.47,0.41,0.47,0.55,3.5,1,0.25,0.29,0.46,0.64,0.25,0.3,0.47,0.66,0.88,1.04,1.38,1.68,1.89,2.28,2.68,-0.03,0.16,0.34,0.73,0.99,0.81
2016/4/1,0.37,0.35,0.39,0.48,0.41,0.47,0.55,3.5,1,0.19,0.23,0.37,0.54,0.19,0.23,0.37,0.56,0.77,0.92,1.26,1.57,1.81,2.21,2.62,-0.22,-0.03,0.19,0.6,0.86,0.67
2016/5/1,0.37,0.35,0.41,0.48,0.38,0.47,0.57,3.5,1,0.22,0.27,0.41,0.57,0.23,0.28,0.42,0.59,0.82,0.97,1.3,1.6,1.81,2.22,2.63,-0.22,-0.04,0.21,0.64,0.86,0.67
2016/6/1,0.38,0.38,0.43,0.49,0.39,0.47,0.55,3.5,1,0.22,0.27,0.4,0.54,0.22,0.27,0.4,0.55,0.73,0.86,1.17,1.44,1.64,2.02,2.45,-0.27,-0.07,0.17,0.63,0.82,0.63
2016/7/1,0.39,0.35,0.4,0.46,0.4,0.5,0.62,3.5,1,0.26,0.3,0.39,0.5,0.26,0.3,0.4,0.51,0.67,0.79,1.07,1.33,1.5,1.82,2.23,-0.32,-0.16,0.04,0.42,0.61,0.46
2016/8/1,0.4,0.37,0.43,0.5,0.42,0.56,0.73,3.5,1,0.26,0.3,0.44,0.55,0.26,0.3,0.45,0.57,0.74,0.85,1.13,1.4,1.56,1.89,2.26,-0.17,-0.06,0.09,0.43,0.62,0.48
2016/9/1,0.4,0.4,0.46,0.53,0.45,0.6,0.75,3.5,1,0.18,0.29,0.46,0.58,0.19,0.29,0.47,0.59,0.77,0.9,1.18,1.46,1.63,2.02,2.35,-0.17,-0.05,0.12,0.47,0.64,0.5
2016/10/1,0.4,0.43,0.5,0.58,0.46,0.6,0.72,3.5,1,0.24,0.33,0.47,0.64,0.24,0.33,0.48,0.66,0.84,0.99,1.27,1.56,1.76,2.17,2.5,-0.26,-0.1,0.1,0.49,0.69,0.52
2016/11/1,0.41,0.43,0.54,0.62,0.48,0.6,0.71,3.5,1,0.29,0.45,0.57,0.71,0.3,0.45,0.58,0.74,0.98,1.22,1.6,1.93,2.14,2.54,2.86,-0.07,0.11,0.32,0.69,0.86,0.71
2016/12/1,0.54,0.56,0.65,0.74,0.61,0.73,0.87,3.64,1.14,0.41,0.51,0.63,0.84,0.42,0.51,0.64,0.87,1.2,1.49,1.96,2.29,2.49,2.84,3.11,0.15,0.36,0.56,0.89,1.04,0.91
2017/1/1,0.65,0.64,0.72,0.8,0.71,0.81,0.9,3.75,1.25,0.49,0.51,0.61,0.8,0.5,0.52,0.62,0.83,1.21,1.48,1.92,2.23,2.43,2.75,3.02,0.03,0.27,0.42,0.74,0.92,0.78
2017/2/1,0.66,0.61,0.7,0.77,0.71,0.78,0.87,3.75,1.25,0.47,0.52,0.64,0.79,0.48,0.53,0.65,0.82,1.2,1.47,1.9,2.22,2.42,2.76,3.03,0.01,0.29,0.4,0.73,0.93,0.77
2017/3/1,0.79,0.78,0.84,0.87,0.83,0.9,0.98,3.88,1.38,0.65,0.74,0.87,0.98,0.66,0.75,0.89,1.01,1.31,1.59,2.01,2.3,2.48,2.83,3.08,0.18,0.42,0.49,0.79,0.99,0.83
2017/4/1,0.9,0.83,0.86,0.92,0.91,0.97,1.03,4,1.5,0.73,0.8,0.93,1.01,0.75,0.81,0.95,1.04,1.24,1.44,1.82,2.1,2.3,2.67,2.94,0.08,0.28,0.39,0.72,0.91,0.75
2017/5/1,0.91,0.84,0.89,0.95,0.95,1,1.05,4,1.5,0.71,0.89,1.02,1.09,0.73,0.9,1.04,1.12,1.3,1.48,1.84,2.11,2.3,2.7,2.96,0.09,0.29,0.47,0.8,0.99,0.82
2017/6/1,1.04,1.02,1.06,1.1,1.08,1.12,1.16,4.13,1.63,0.82,0.98,1.09,1.17,0.84,1,1.11,1.2,1.34,1.49,1.77,2.01,2.19,2.54,2.8,0.14,0.32,0.46,0.75,0.93,0.78
2017/7/1,1.15,1.1,1.13,1.17,1.15,1.18,1.22,4.25,1.75,0.95,1.07,1.11,1.19,0.97,1.09,1.13,1.22,1.37,1.54,1.87,2.13,2.32,2.65,2.88,0.23,0.42,0.55,0.84,1.01,0.87
2017/8/1,1.16,1.1,1.14,1.18,1.16,1.2,1.25,4.25,1.75,0.96,1.01,1.11,1.2,0.98,1.03,1.13,1.23,1.34,1.48,1.78,2.03,2.21,2.55,2.8,0.16,0.35,0.43,0.74,0.93,0.78
2017/9/1,1.15,1.11,1.14,1.18,1.17,1.21,1.25,4.25,1.75,0.98,1.03,1.15,1.25,0.99,1.05,1.17,1.28,1.38,1.51,1.8,2.03,2.2,2.53,2.78,0.12,0.31,0.37,0.67,0.87,0.72
2017/10/1,1.15,1.13,1.17,1.21,1.16,1.2,1.26,4.25,1.75,0.98,1.07,1.23,1.36,1,1.09,1.25,1.4,1.55,1.68,1.98,2.2,2.36,2.65,2.88,0.25,0.42,0.5,0.77,0.94,0.81
2017/11/1,1.16,1.16,1.22,1.28,1.2,1.27,1.32,4.25,1.75,1.07,1.23,1.36,1.51,1.09,1.25,1.39,1.56,1.7,1.81,2.05,2.23,2.35,2.6,2.8,0.3,0.43,0.5,0.72,0.87,0.75
2017/12/1,1.3,1.4,1.38,1.43,1.4,1.47,1.54,4.4,1.9,1.18,1.32,1.47,1.65,1.2,1.34,1.5,1.7,1.84,1.96,2.18,2.32,2.4,2.6,2.77,0.42,0.48,0.5,0.68,0.8,0.71
